   74.000000 -180.000000      1.195
   75.000000 -180.000000      1.283
   76.000000 -180.000000      0.729
   77.000000 -180.000000      2.112
   78.000000 -180.000000      2.570
   79.000000 -180.000000      3.217
   80.000000 -180.000000      3.419
   81.000000 -180.000000      3.667
   82.000000 -180.000000      4.855
   83.000000 -180.000000      5.816
   84.000000 -180.000000      7.659
   85.000000 -180.000000      9.124
   86.000000 -180.000000      9.315
   87.000000 -180.000000     10.718
   88.000000 -180.000000     11.270
   89.000000 -180.000000     13.321
   90.000000 -180.000000     14.899
  -90.000000 -179.000000    -30.150
  -89.000000 -179.000000    -30.056
  -88.000000 -179.000000    -29.093
  -87.000000 -179.000000    -30.467
  -86.000000 -179.000000    -31.454
  -85.000000 -179.000000    -35.686
  -84.000000 -179.000000    -42.690
  -83.000000 -179.000000    -46.549
  -82.000000 -179.000000    -48.179
  -81.000000 -179.000000    -50.358
  -80.000000 -179.000000    -52.492
  -79.000000 -179.000000    -54.308
  -78.000000 -179.000000    -56.660
  -77.000000 -179.000000    -58.130
  -76.000000 -179.000000    -59.747
  -75.000000 -179.000000    -61.545
  -74.000000 -179.000000    -62.341
  -73.000000 -179.000000    -61.528
  -72.000000 -179.000000    -61.520
  -71.000000 -179.000000    -61.619
  -70.000000 -179.000000    -62.882
  -69.000000 -179.000000    -61.363
  -68.000000 -179.000000    -58.944
  -67.000000 -179.000000    -58.122
  -66.000000 -179.000000    -53.894
  -65.000000 -179.000000    -51.296
  -64.000000 -179.000000    -50.556
  -63.000000 -179.000000    -49.753
  -62.000000 -179.000000    -49.056
  -61.000000 -179.000000    -47.197
  -60.000000 -179.000000    -46.126
  -59.000000 -179.000000    -44.374
  -58.000000 -179.000000    -42.629
  -57.000000 -179.000000    -40.082
  -56.000000 -179.000000    -37.421
  -55.000000 -179.000000    -34.515
  -54.000000 -179.000000    -31.635
  -53.000000 -179.000000    -28.303
  -52.000000 -179.000000    -24.740
  -51.000000 -179.000000    -20.769
  -50.000000 -179.000000    -16.465
  -49.000000 -179.000000    -11.530
  -48.000000 -179.000000     -7.504
  -47.000000 -179.000000     -6.413
  -46.000000 -179.000000     -2.637
  -45.000000 -179.000000      3.169
  -44.000000 -179.000000     10.039
  -43.000000 -179.000000     13.251
  -42.000000 -179.000000     14.790
  -41.000000 -179.000000     18.308
  -40.000000 -179.000000     20.139
  -39.000000 -179.000000     22.000
  -38.000000 -179.000000     22.894
  -37.000000 -179.000000     21.473
  -36.000000 -179.000000     17.198
  -35.000000 -179.000000     18.299
  -34.000000 -179.000000     24.218
  -33.000000 -179.000000     34.497
  -32.000000 -179.000000     42.084
  -31.000000 -179.000000     44.673
  -30.000000 -179.000000     46.585
  -29.000000 -179.000000     47.562
  -28.000000 -179.000000     48.673
  -27.000000 -179.000000     49.904
  -26.000000 -179.000000     50.924
  -25.000000 -179.000000     51.585
  -24.000000 -179.000000     52.101
  -23.000000 -179.000000     52.327
  -22.000000 -179.000000     52.067
  -21.000000 -179.000000     51.788
  -20.000000 -179.000000     51.118
  -19.000000 -179.000000     50.879
  -18.000000 -179.000000     50.702
  -17.000000 -179.000000     50.558
  -16.000000 -179.000000     49.055
  -15.000000 -179.000000     48.043
  -14.000000 -179.000000     46.171
  -13.000000 -179.000000     43.661
  -12.000000 -179.000000     40.392
  -11.000000 -179.000000     37.713
  -10.000000 -179.000000     33.124
   -9.000000 -179.000000     29.732
   -8.000000 -179.000000     27.240
   -7.000000 -179.000000     25.250
   -6.000000 -179.000000     24.001
   -5.000000 -179.000000     23.011
   -4.000000 -179.000000     21.942
   -3.000000 -179.000000     21.590
   -2.000000 -179.000000     20.734
   -1.000000 -179.000000     20.470
    0.000000 -179.000000     20.200
    1.000000 -179.000000     19.799
    2.000000 -179.000000     19.163
    3.000000 -179.000000     18.426
    4.000000 -179.000000     17.036
    5.000000 -179.000000     16.299
    6.000000 -179.000000     15.934
    7.000000 -179.000000     15.158
    8.000000 -179.000000     14.132
    9.000000 -179.000000     12.916
   10.000000 -179.000000     12.249
   11.000000 -179.000000     11.284
   12.000000 -179.000000     10.462
   13.000000 -179.000000     10.107
   14.000000 -179.000000      9.442
   15.000000 -179.000000      8.773
   16.000000 -179.000000      7.372
   17.000000 -179.000000      6.641
   18.000000 -179.000000      5.678
   19.000000 -179.000000      4.908
   20.000000 -179.000000      4.999
   21.000000 -179.000000      2.377
   22.000000 -179.000000      1.596
   23.000000 -179.000000     -0.925
   24.000000 -179.000000     -1.377
   25.000000 -179.000000     -1.815
   26.000000 -179.000000     -3.056
   27.000000 -179.000000     -4.414
   28.000000 -179.000000     -3.913
   29.000000 -179.000000     -2.532
   30.000000 -179.000000     -8.283
   31.000000 -179.000000     -8.591
   32.000000 -179.000000     -9.360
   33.000000 -179.000000     -9.866
   34.000000 -179.000000    -10.391
   35.000000 -179.000000    -10.170
   36.000000 -179.000000    -11.327
   37.000000 -179.000000    -11.851
   38.000000 -179.000000    -12.349
   39.000000 -179.000000    -12.295
   40.000000 -179.000000    -13.038
   41.000000 -179.000000    -11.908
   42.000000 -179.000000    -11.351
   43.000000 -179.000000     -9.510
   44.000000 -179.000000     -7.721
   45.000000 -179.000000     -6.195
   46.000000 -179.000000     -4.195
   47.000000 -179.000000     -2.276
   48.000000 -179.000000     -0.325
   49.000000 -179.000000      1.071
   50.000000 -179.000000     -5.767
   51.000000 -179.000000     -5.790
   52.000000 -179.000000      2.047
   53.000000 -179.000000      1.028
   54.000000 -179.000000      0.149
   55.000000 -179.000000      1.281
   56.000000 -179.000000      2.375
   57.000000 -179.000000      2.316
   58.000000 -179.000000      1.046
   59.000000 -179.000000      0.717
   60.000000 -179.000000      3.325
   61.000000 -179.000000      4.780
   62.000000 -179.000000      5.005
   63.000000 -179.000000      5.037
   64.000000 -179.000000      3.946
   65.000000 -179.000000      3.670
   66.000000 -179.000000      3.790
   67.000000 -179.000000      3.831
   68.000000 -179.000000      3.769
   69.000000 -179.000000      2.926
   70.000000 -179.000000      2.230
   71.000000 -179.000000      3.233
   72.000000 -179.000000      2.433
   73.000000 -179.000000      2.318
   74.000000 -179.000000      1.035
   75.000000 -179.000000      1.070
   76.000000 -179.000000      0.738
   77.000000 -179.000000      2.082
   78.000000 -179.000000      2.642
   79.000000 -179.000000      3.277
   80.000000 -179.000000      3.595
   81.000000 -179.000000      3.532
   82.000000 -179.000000      4.898
   83.000000 -179.000000      5.859
   84.000000 -179.000000      7.767
   85.000000 -179.000000      9.207
   86.000000 -179.000000      9.341
   87.000000 -179.000000     10.704
   88.000000 -179.000000     11.358
